Id,SalePrice
1461,118652.3626
1462,160803.533
1463,181677.4316
1464,186613.2577
1465,212147.9565
1466,175124.8099
1467,179365.855
1468,160460.3208
1469,206909.6813
1470,117445.9418
1471,165370.3945
1472,94129.9226
1473,95371.45348
1474,143012.0971
1475,103374.1681
1476,370159.6013
1477,249801.6267
1478,313288.1136
1479,310559.2152
1480,485012.3536
1481,305225.8108
1482,211075.0775
1483,176500.9512
1484,161358.7362
1485,180649.5208
1486,194928.4472
1487,328123.5765
1488,180758.9092
1489,199070.3969
1490,262612.1977
1491,197743.1482
1492,93295.11213
1493,194950.9877
1494,299710.3144
1495,288159.7965
1496,259175.5597
1497,185238.6065
1498,158249.3787
1499,149650.387
1500,143740.7165
1501,189385.9328
1502,138892.6622
1503,291233.3278
1504,240540.6592
1505,230560.1271
1506,191304.5953
1507,252679.7777
1508,205159.8394
1509,150983.8977
1510,140812.2093
1511,148246.0499
1512,179459.8442
1513,165834.0155
1514,152653.7459
1515,210021.8929
1516,157019.0893
1517,180666.7739
1518,123151.696
1519,212627.6109
1520,130327.544
1521,135597.3196
1522,181086.452
1523,107217.638
1524,126192.8392
1525,121221.2978
1526,116538.0392
1527,95893.9481
1528,128900.4639
1529,143057.5991
1530,189638.481
1531,123705.167
1532,97652.29201
1533,157618.7198
1534,121736.6462
1535,159348.6784
1536,95392.14175
1537,53896.97331
1538,162178.8715
1539,201592.4076
1540,131320.828
1541,132219.5696
1542,163796.3072
1543,195267.5526
1544,89468.95706
1545,132661.6326
1546,136574.1899
1547,141325.1403
1548,156587.1381
1549,122086.7095
1550,148323.126
1551,117364.7918
1552,149571.3171
1553,138145.2864
1554,116963.7873
1555,170051.1283
1556,180758.9092
1557,119150.0679
1558,95278.16432
1559,67303.34209
1560,141446.449
1561,132419.7681
1562,125321.13
1563,119979.4633
1564,167351.3172
1565,141908.25
1566,231707.6347
1567,68401.05015
1568,210172.1108
1569,134771.5433
1570,133059.6547
1571,103587.8667
1572,154101.2348
1573,253537.1623
1574,136415.846
1575,227652.2299
1576,239612.9907
1577,185340.0296
1578,143497.4401
1579,143327.7787
1580,195928.3732
1581,147312.8684
1582,134264.0897
1583,279396.5219
1584,223333.579
1585,131010.5291
1586,180758.9092
1587,103461.7301
1588,169296.7021
1589,99043.35978
1590,143274.5016
1591,93356.13742
1592,119654.4562
1593,120335.1833
1594,180758.9092
1595,109886.1384
1596,242406.6273
1597,198335.1683
1598,208769.9945
1599,195614.3729
1600,174434.5147
1601,63894.09698
1602,124050.0182
1603,68445.84321
1604,283595.239
1605,223646.362
1606,166341.8502
1607,175538.8597
1608,188326.8642
1609,172623.7758
1610,139269.2777
1611,133252.6675
1612,195541.0205
1613,160628.152
1614,123720.1623
1615,78791.52387
1616,63976.9714
1617,88409.2152
1618,117771.7537
1619,132772.4437
1620,174904.2322
1621,131925.5512
1622,141996.9257
1623,253606.3279
1624,203933.6337
1625,123118.8475
1626,177420.6841
1627,188811.1517
1628,280560.2565
1629,178394.0485
1630,380538.2344
1631,238896.6552
1632,250513.1431
1633,173052.6142
1634,185352.183
1635,174983.86
1636,150221.618
1637,196760.637
1638,182187.0117
1639,181725.3935
1640,250954.4053
1641,180742.4538
1642,265591.6642
1643,223400.9126
1644,236464.8157
1645,215800.1145
1646,154870.113
1647,158028.1273
1648,132681.9509
1649,133224.939
1650,116992.1249
1651,109844.5018
1652,96680.26872
1653,100665.5305
1654,146473.744
1655,133630.2601
1656,139079.4351
1657,153500.8052
1658,147520.9839
